post_title,post_content,post_status,post_type,adresse,ville,code_postal,specialites,langues,consultation_video,telephone,email,profil_url,photo_url
Me Louis ROUX,"Droit commercial, des affaires et de la concurrence, Droit des sociétés, Droit des associations et des fondations",publish,avocat,20 Boulevard du Lycée,ANNECY,74000,"Droit commercial, des affaires et de la concurrence, Droit des sociétés, Droit des associations et des fondations","",Oui,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=60253&maxw=60&maxh=60&maximize=&mode=w&code=73709d9450
Me Pauline BERNARD,"Droit commercial, des affaires et de la concurrence, Droit bancaire et boursier, Droit immobilier",publish,avocat,7 Avenue d'Albigny,ANNECY,74000,"Droit commercial, des affaires et de la concurrence, Droit bancaire et boursier, Droit immobilier","",Non,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=25222&maxw=60&maxh=60&maximize=&mode=w&code=0ce21d741e
Me Mickaël IBARRA,"Droit des sociétés commerciales et professionnelles, Ventes de fonds de commerce, Droit fiscal et droit douanier",publish,avocat,37 Rue Cassiopée Parc Altaïs,CHAVANOD,74650,"Droit des sociétés commerciales et professionnelles, Ventes de fonds de commerce, Droit fiscal et droit douanier","",Non,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=4058&maxw=60&maxh=60&maximize=&mode=w&code=40620b9e46
Me Goussem SELMANE,"Droit bancaire et boursier, Mesures conservatoires, Droit de la famille, des personnes et de leur patrimoine",publish,avocat,15 rue de la Préfecture,ANNECY,74000,"Droit bancaire et boursier, Mesures conservatoires, Droit de la famille, des personnes et de leur patrimoine","",Non,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=44591&maxw=60&maxh=60&maximize=&mode=w&code=3b12d239a2
Me Rachel BRANCAZ,"Droit des sociétés, Droit commercial, des affaires et de la concurrence, Droit de la famille, des personnes et de leur patrimoine",publish,avocat,9 Allée Jules Verne,RUMILLY,74150,"Droit des sociétés, Droit commercial, des affaires et de la concurrence, Droit de la famille, des personnes et de leur patrimoine","",Oui,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=43635&maxw=60&maxh=60&maximize=&mode=w&code=bd97de2a2a
Me Olivier GILBERT,"Fusions et acquisitions, Droit des sociétés commerciales et professionnelles, Droit de l'informatique et des télécommunications",publish,avocat,13 Bis rue Louis Revon,ANNECY,74000,"Fusions et acquisitions, Droit des sociétés commerciales et professionnelles, Droit de l'informatique et des télécommunications","",Oui,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=54318&maxw=60&maxh=60&maximize=&mode=w&code=7cb9bf1841
Me Serpil LEVET-TERZIOGLU,"Droit des sociétés, Droit commercial, des affaires et de la concurrence, Droit de la famille, des personnes et de leur patrimoine",publish,avocat,3 allée des Aubépines,SEYNOD,74600,"Droit des sociétés, Droit commercial, des affaires et de la concurrence, Droit de la famille, des personnes et de leur patrimoine","",Oui,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=3769&maxw=60&maxh=60&maximize=&mode=w&code=f7d25e3728
Me Elodie FAVRE-LORRAINE,"Droit des sociétés, Droit commercial, des affaires et de la concurrence, Droit des associations et des fondations",publish,avocat,7 Impasse des Prairies,ANNECY,74940,"Droit des sociétés, Droit commercial, des affaires et de la concurrence, Droit des associations et des fondations","",Oui,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=39574&maxw=60&maxh=60&maximize=&mode=w&code=00f6069bd2
Me Charlyne BINET,"Droit commercial, des affaires et de la concurrence, Droit des sociétés",publish,avocat,21 Avenue François Favre,ANNECY,74000,"Droit commercial, des affaires et de la concurrence, Droit des sociétés","",Non,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=58847&maxw=60&maxh=60&maximize=&mode=w&code=23578ed492
Me Clara DALMAS,"Droit des associations et des fondations, Droit commercial, des affaires et de la concurrence, Droit des sociétés",publish,avocat,3 bis Boulevard du Lycée,ANNECY,74000,"Droit des associations et des fondations, Droit commercial, des affaires et de la concurrence, Droit des sociétés","",Oui,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=57979&maxw=60&maxh=60&maximize=&mode=w&code=d683d0d8a6
